userID, artistID,#plays
145,20317,83
145,55864,84
145,63353,44
145,74440,49
145,86763,388
145,96234,245
145,155818,124
145,190544,43
145,195329,108
145,201345,219
145,252571,50
145,282641,1915
145,302463,46
145,322074,319
145,340920,12312
145,343971,303
145,347856,576
145,370168,55
145,370756,129
145,382937,238
145,398695,113
145,399202,948
145,459951,333
145,558793,212
145,568406,54
145,596297,148
145,615924,121
145,625906,1009
145,729090,246
145,751834,2222
145,781927,368
145,783376,66
145,788098,5896
145,807064,183
145,807942,91
145,834297,54
145,864301,172
145,868345,64
145,891145,55
145,916809,1282
145,920445,62
145,937312,143
145,937818,500
145,940413,45
145,971128,117
145,971168,94
145,999984,101
211,5174,627
211,26158,434
211,96234,468
211,119936,528
211,131579,516
211,173540,401
211,200991,479
211,202625,616
211,217684,428
211,222773,722
211,236737,889
211,269254,579
211,309152,551
211,311998,450
211,347856,1332
211,353636,728
211,358514,472
211,375660,753
211,434380,433
211,439891,395
211,459951,665
211,473976,399
211,511147,453
211,511781,631
211,517903,470
211,539390,1032
211,627052,405
211,628480,671
211,652171,430
211,665534,590
211,686472,447
211,689582,632
211,700104,2019
211,709862,637
211,718699,506
211,784942,531
211,789405,586
211,820645,451
211,836797,530
211,842022,955
211,871307,664
211,890020,445
211,937836,2863
1539,74796,138
1539,96234,2430
1539,173540,734
1539,188220,369
1539,201345,2260
1539,249929,1421
1539,282641,392
1539,303419,19
1539,328981,30
1539,340920,13091
1539,366778,116
1539,377676,23
1539,382937,3740
1539,390392,517
1539,399202,86
1539,418232,1917
1539,483790,1130
1539,494696,46
1539,496216,253
1539,533994,62
1539,539859,205
1539,545490,44
1539,558266,87
1539,578208,2125
1539,596297,27
1539,658338,243
1539,664354,25
1539,684317,95
1539,690222,353
1539,729090,6095
1539,730155,22
1539,789306,245
1539,791862,7813
1539,864301,378
1539,877020,52
1539,904494,20
1539,919050,2246
1539,937312,36
1539,946579,583
1539,961220,1554
1539,971128,84
1539,986956,130
2214,4769,336
2214,5174,259
2214,59175,367
2214,71135,1052
2214,141520,305
2214,150423,341
2214,176586,223
2214,222773,1637
2214,278715,1072
2214,322074,265
2214,329279,258
2214,333383,320
2214,353636,1495
