userID,friendID
145,31383
145,32813
145,84149
145,105294
145,117383
145,160817
145,175764
145,338687
145,351902
145,376613
145,418840
145,466173
145,563940
145,572310
145,607020
145,613750
145,617317
145,620114
145,628474
145,748485
145,835622
145,937351
145,940112
31383,1539
31383,38878
31383,60438
31383,84149
31383,87432
31383,117383
31383,133263
31383,152991
31383,161042
31383,182620
31383,195074
31383,240671
31383,253537
31383,258017
31383,265474
31383,291936
31383,328891
31383,351902
31383,397832
31383,418840
31383,441435
31383,466173
31383,472016
31383,607020
31383,613750
31383,614445
31383,617317
31383,685438
31383,694461
31383,705632
31383,718811
31383,724674
31383,835622
31383,852394
31383,936742
31383,954515
31383,984973
32813,13163
32813,117383
32813,123196
32813,183735
32813,214760
32813,229032
32813,240913
32813,294105
32813,315645
32813,338687
32813,351902
32813,360291
32813,425517
32813,481517
32813,508730
32813,536587
32813,552679
32813,575684
32813,606750
32813,613750
32813,620114
32813,662690
32813,672617
32813,729324
32813,881873
32813,913587
32813,937351
32813,999659
84149,1539
84149,16948
84149,55408
84149,60438
84149,73989
84149,105294
84149,106743
84149,110303
84149,145845
84149,168346
84149,176164
84149,185706
84149,193676
84149,199187
84149,253537
84149,265474
84149,278374
84149,281431
84149,288123
84149,291936
84149,292231
84149,294105
84149,330596
84149,350827
84149,393955
84149,399241
84149,412878
84149,418840
84149,428286
84149,434435
84149,439346
84149,441435
84149,457566
84149,466173
84149,472016
84149,502190
84149,509031
84149,555524
84149,563940
84149,606750
84149,607020
84149,614445
84149,617317
84149,645071
84149,648400
84149,654577
84149,670600
84149,672617
84149,694461
84149,705172
84149,728654
84149,776400
84149,798855
84149,812593
84149,827354
84149,833800
84149,835622
84149,852394
84149,875987
84149,940112
84149,953096
84149,965293
84149,975852
84149,983433
84149,984973
84149,987402
84149,999659
105294,16154
105294,23096
105294,23413
105294,32806
105294,44162
105294,46049
105294,60438
105294,72474
105294,83635
105294,93499
105294,98220
105294,145845
105294,189144
105294,193676
105294,198812
105294,199796
105294,202511
105294,214829
105294,226089
105294,229032
105294,239119
105294,239215
105294,240913
105294,244421
105294,288123
105294,292231
105294,294105
105294,318384
105294,338687
105294,381316
105294,425517
105294,428100
105294,437145
105294,439346
105294,466173
105294,489729
105294,509031
105294,520893
105294,536587
105294,551095
105294,552679
105294,575204
105294,584565
105294,596456
105294,598707
105294,606750
105294,628474
105294,648400
105294,702370
105294,705632
105294,731718
105294,747042
105294,759507
105294,762558
105294,776400
105294,798855
105294,833290
105294,856725
105294,858258
105294,880154
105294,890236
105294,912099
105294,913587
105294,936742
105294,937704
105294,940112
105294,968045
105294,983003
105294,987402
105294,994520
117383,32806
117383,46049
117383,60438
117383,109353
117383,137040
117383,146170
117383,149050
117383,157906
117383,175764
117383,189144
117383,193676
117383,208224
117383,214760
117383,258017
117383,291936
117383,351902
117383,372854
117383,381409
117383,412878
117383,421005
117383,436418
117383,436879
117383,437145
117383,439173
117383,466173
117383,472016
117383,497387
117383,502190
117383,536587
117383,539688
117383,548544
117383,555524
117383,575027
117383,584565
117383,601148
117383,606750
117383,608983
117383,613750
117383,614445
117383,617317
117383,638857
117383,640518
117383,643349
117383,688082
117383,689551
117383,705632
117383,731718
117383,738233
117383,783758
117383,789430
117383,833800
117383,834971
